year	iso	inflation_reinhard_rogoff	inflation_frankema_waijenburg
1987	"AGO"	1.83	
1988	"AGO"	1.83	
1989	"AGO"	1.84	
1990	"AGO"	2.76	
1991	"AGO"	83.6	
1992	"AGO"	299.09	
1993	"AGO"	1379.47	
1994	"AGO"	949.77	
1995	"AGO"	2672.23	
1996	"AGO"	4146.01	
1997	"AGO"	221.49	
1998	"AGO"	107.43	
1999	"AGO"	248.25	
2000	"AGO"	325.03	
2001	"AGO"	152.59	
2002	"AGO"	108.89	
2003	"AGO"	98.34	
2004	"AGO"	43.56	
2005	"AGO"	22.96	
2006	"AGO"	13.31	
2007	"AGO"	12.25	
2008	"AGO"	12.47	
2009	"AGO"	13.72	
2010	"AGO"	14.48	
2011	"AGO"	13.48	
2012	"AGO"	10.29	
2013	"AGO"	8.78	
2014	"AGO"	7.29	
2015	"AGO"		
1890	"CAF"		
1891	"CAF"		
1892	"CAF"		
1893	"CAF"		
1894	"CAF"		
1895	"CAF"		
1896	"CAF"		
1897	"CAF"		
1898	"CAF"		
1899	"CAF"		
1900	"CAF"		
1901	"CAF"		
1902	"CAF"		
1903	"CAF"		
1904	"CAF"		
1905	"CAF"		
1906	"CAF"		
1907	"CAF"		
1908	"CAF"		
1909	"CAF"		
1910	"CAF"		
1911	"CAF"		
1912	"CAF"		
1913	"CAF"		
1914	"CAF"		
1915	"CAF"		
1916	"CAF"		
1917	"CAF"		
1918	"CAF"		
1919	"CAF"		
1920	"CAF"		
1921	"CAF"		
1922	"CAF"		
1923	"CAF"		
1924	"CAF"		
1925	"CAF"		
1926	"CAF"		
1927	"CAF"		
1928	"CAF"		
1929	"CAF"		
1930	"CAF"		
1931	"CAF"		
1932	"CAF"		
1933	"CAF"		
1934	"CAF"		
1935	"CAF"		
1936	"CAF"		
1937	"CAF"		
1938	"CAF"		
1939	"CAF"		
1940	"CAF"		
1941	"CAF"		
1942	"CAF"		
1943	"CAF"		
1944	"CAF"		
1945	"CAF"		
1946	"CAF"		
1947	"CAF"		
1948	"CAF"		
1949	"CAF"		
1950	"CAF"		
1951	"CAF"		
1952	"CAF"		
1953	"CAF"		
1954	"CAF"		
1955	"CAF"		
1956	"CAF"		
1957	"CAF"	6.82	
1958	"CAF"	12.77	
1959	"CAF"	3.77	
1960	"CAF"	10.91	
1961	"CAF"	6.56	
1962	"CAF"	7.69	
1963	"CAF"	3.71	
1964	"CAF"	10.06	
1965	"CAF"	9.39	
1966	"CAF"	2.75	
1967	"CAF"	1.89	
1968	"CAF"	4.81	
1969	"CAF"	0.52	
1970	"CAF"	3.73	
1971	"CAF"	27.7	
1972	"CAF"	-8.82	
1973	"CAF"	5.65	
1974	"CAF"	9.54	
1975	"CAF"	16.03	
1976	"CAF"	10.51	
1977	"CAF"	11.14	
1978	"CAF"	11.49	
1979	"CAF"	9.21	
1980	"CAF"	13.3	
1981	"CAF"	14.7	
1982	"CAF"	13.2	
1983	"CAF"	14.6	
1984	"CAF"	2.6	
1985	"CAF"	10.5	
1986	"CAF"	2.4	
1987	"CAF"	-7.0	
1988	"CAF"	-3.9	
1989	"CAF"	0.6	
1990	"CAF"	-0.2	
1991	"CAF"	-2.8	
1992	"CAF"	-0.8	
1993	"CAF"	-2.9	
1994	"CAF"	24.5	
1995	"CAF"	19.2	
1996	"CAF"	3.7	
1997	"CAF"	1.6	
1998	"CAF"	-1.9	
1999	"CAF"	-1.4	
2000	"CAF"	3.2	
2001	"CAF"	3.8	
2002	"CAF"	2.3	
2003	"CAF"	4.4	
2004	"CAF"	-2.2	
2005	"CAF"	2.89	
2006	"CAF"	6.69	
2007	"CAF"	0.93	
2008	"CAF"	9.26	
2009	"CAF"	3.52	
2010	"CAF"	1.49	
2011	"CAF"	1.19	
2012	"CAF"	5.87	
2013	"CAF"	6.55	
2014	"CAF"	7.35	
2015	"CAF"		
1890	"CIV"		
1891	"CIV"		
1892	"CIV"		
1893	"CIV"		
1894	"CIV"		
1895	"CIV"		
1896	"CIV"		
1897	"CIV"		
1898	"CIV"		
1899	"CIV"		
1900	"CIV"		
1901	"CIV"		
1902	"CIV"		
1903	"CIV"		
1904	"CIV"		
1905	"CIV"		
1906	"CIV"		
1907	"CIV"		
1908	"CIV"		
1909	"CIV"		
1910	"CIV"		
1911	"CIV"		
1912	"CIV"		
1913	"CIV"		
1914	"CIV"		
1915	"CIV"		
1916	"CIV"		
1917	"CIV"		
1918	"CIV"		
1919	"CIV"		
1920	"CIV"		
1921	"CIV"		
1922	"CIV"		
1923	"CIV"		
1924	"CIV"		
1925	"CIV"		
1926	"CIV"		
1927	"CIV"		
1928	"CIV"		
1929	"CIV"		
1930	"CIV"		
1931	"CIV"		
1932	"CIV"		
1933	"CIV"		
1934	"CIV"		
1935	"CIV"		
1936	"CIV"		
1937	"CIV"		
1938	"CIV"		
1939	"CIV"		
1940	"CIV"		
1941	"CIV"		
1942	"CIV"		
1943	"CIV"		
1944	"CIV"		
1945	"CIV"		
1946	"CIV"		
1947	"CIV"		
1948	"CIV"		
1949	"CIV"		
1950	"CIV"		
1951	"CIV"		
1952	"CIV"	16.22	
1953	"CIV"	2.33	
1954	"CIV"	-2.27	
1955	"CIV"	2.33	
1956	"CIV"	4.54	
1957	"CIV"	13.04	
1958	"CIV"	21.15	
1959	"CIV"	6.35	
1960	"CIV"	-2.15	
1961	"CIV"	14.43	
1962	"CIV"	-0.18	
1963	"CIV"	8.72	
1964	"CIV"	-3.17	
1965	"CIV"	1.76	
1966	"CIV"	4.67	
1967	"CIV"	2.77	
1968	"CIV"	7.75	
1969	"CIV"	2.5	
1970	"CIV"	8.08	
1971	"CIV"	-1.07	
1972	"CIV"	1.19	
1973	"CIV"	12.93	
1974	"CIV"	18.22	
1975	"CIV"	10.62	
1976	"CIV"	12.91	
1977	"CIV"	24.48	
1978	"CIV"	16.03	
1979	"CIV"	21.76	
1980	"CIV"	8.8	
1981	"CIV"	8.7	
1982	"CIV"	7.4	
1983	"CIV"	5.9	
1984	"CIV"	4.3	
1985	"CIV"	1.8	
1986	"CIV"	6.8	
1987	"CIV"	7.0	
1988	"CIV"	6.9	
1989	"CIV"	1.0	
1990	"CIV"	-0.7	
1991	"CIV"	1.6	
1992	"CIV"	4.2	
1993	"CIV"	2.1	
1994	"CIV"	26.0	
1995	"CIV"	14.1	
1996	"CIV"	2.7	
1997	"CIV"	4.2	
1998	"CIV"	4.5	
1999	"CIV"	0.7	
2000	"CIV"	2.5	
2001	"CIV"	4.4	
2002	"CIV"	3.1	
2003	"CIV"	3.3	
2004	"CIV"	1.5	
2005	"CIV"	3.88	
2006	"CIV"	2.47	
2007	"CIV"	1.9	
2008	"CIV"	6.32	
2009	"CIV"	1.01	
2010	"CIV"	1.8	
2011	"CIV"	4.45	
2012	"CIV"	1.3	
2013	"CIV"	2.58	
2014	"CIV"	0.63	
2015	"CIV"		
1890	"EGY"	7.95	
1891	"EGY"	10.18	
1892	"EGY"	1.96	
1893	"EGY"	-13.92	
1894	"EGY"	-4.95	
1895	"EGY"	-5.58	
1896	"EGY"	9.7	
1897	"EGY"	2.85	
1898	"EGY"	14.22	
1899	"EGY"	-6.37	
1900	"EGY"	7.39	
1901	"EGY"	0.11	
1902	"EGY"	-0.55	
1903	"EGY"	-7.53	
1904	"EGY"	-2.64	
1905	"EGY"	15.36	
1906	"EGY"	9.45	
1907	"EGY"	1.31	
1908	"EGY"	8.87	
1909	"EGY"	1.19	
1910	"EGY"	-11.74	
1911	"EGY"	1.29	
1912	"EGY"	6.24	
1913	"EGY"	11.4	
1914	"EGY"	-1.14	
1915	"EGY"	-16.0	
1916	"EGY"	19.33	
1917	"EGY"	35.48	
1918	"EGY"	18.05	
1919	"EGY"	12.17	
1920	"EGY"	20.6	
1921	"EGY"	-28.5	
1922	"EGY"	-11.81	
1923	"EGY"	-10.9	
1924	"EGY"	7.2	
1925	"EGY"	5.68	
1926	"EGY"	-11.35	
1927	"EGY"	-8.36	
1928	"EGY"	4.51	
1929	"EGY"	-3.34	
1930	"EGY"	-6.92	
1931	"EGY"	-5.02	
1932	"EGY"	-10.85	
1933	"EGY"	-9.79	
1934	"EGY"	23.97	
1935	"EGY"	5.65	
1936	"EGY"	-7.25	
1937	"EGY"	-1.02	
1938	"EGY"	11.43	
1939	"EGY"	-1.44	
1940	"EGY"	10.38	
1941	"EGY"	24.19	
1942	"EGY"	40.77	
1943	"EGY"	17.49	
1944	"EGY"	11.38	
1945	"EGY"	0.0	
1946	"EGY"	2.12	
1947	"EGY"	-3.11	
1948	"EGY"	0.71	
1949	"EGY"	0.0	
1950	"EGY"	8.51	
1951	"EGY"	7.6	
1952	"EGY"	-10.25	
1953	"EGY"	-0.95	
1954	"EGY"	-2.89	
1955	"EGY"	0.0	
1956	"EGY"	3.96	
1957	"EGY"	3.25	
1958	"EGY"	-1.34	
1959	"EGY"	0.69	
1960	"EGY"	0.73	
1961	"EGY"	1.18	
1962	"EGY"	-4.2	
1963	"EGY"	2.06	
1964	"EGY"	7.82	
1965	"EGY"	13.12	
1966	"EGY"	6.69	
1967	"EGY"	0.12	
1968	"EGY"	0.46	
1969	"EGY"	3.68	
1970	"EGY"	3.37	
1971	"EGY"	2.94	
1972	"EGY"	2.42	
1973	"EGY"	5.74	
1974	"EGY"	10.64	
1975	"EGY"	9.9	
1976	"EGY"	10.29	
1977	"EGY"	11.61	
1978	"EGY"	11.27	
1979	"EGY"	9.9	
1980	"EGY"	20.5	
1981	"EGY"	10.4	
1982	"EGY"	14.9	
1983	"EGY"	16.0	
1984	"EGY"	17.1	
1985	"EGY"	12.1	
1986	"EGY"	23.9	
1987	"EGY"	25.2	
1988	"EGY"	15.2	
1989	"EGY"	20.1	
1990	"EGY"	21.2	
1991	"EGY"	14.7	
1992	"EGY"	21.1	
1993	"EGY"	11.0	
1994	"EGY"	9.0	
1995	"EGY"	9.4	
1996	"EGY"	7.1	
1997	"EGY"	6.17	
1998	"EGY"	5.04	
1999	"EGY"	3.74	
2000	"EGY"	2.85	
2001	"EGY"	2.43	
2002	"EGY"	3.21	
2003	"EGY"	0.0	
2004	"EGY"	8.11	
2005	"EGY"	8.83	
2006	"EGY"	4.2	
2007	"EGY"	10.96	
2008	"EGY"	11.7	
2009	"EGY"	16.24	
2010	"EGY"	11.69	
2011	"EGY"	11.09	
2012	"EGY"	8.65	
2013	"EGY"	6.91	
2014	"EGY"	10.1	
2015	"EGY"		
1890	"GHA"		-0.44
1891	"GHA"		-10.61
1892	"GHA"		8.84
1893	"GHA"		-1.81
1894	"GHA"		-13.82
1895	"GHA"		10.39
1896	"GHA"		-0.02
1897	"GHA"		0.11
1898	"GHA"		0.0
1899	"GHA"		0.22
1900	"GHA"		0.36
1901	"GHA"		0.35
1902	"GHA"		0.11
1903	"GHA"		0.21
1904	"GHA"		-0.12
1905	"GHA"		-0.26
1906	"GHA"		0.33
1907	"GHA"		0.74
1908	"GHA"		0.0
1909	"GHA"		3.52
1910	"GHA"		0.32
1911	"GHA"		0.99
1912	"GHA"		
1913	"GHA"		
1914	"GHA"		
1915	"GHA"		
1916	"GHA"		
1917	"GHA"		
1918	"GHA"		
1919	"GHA"		
1920	"GHA"		
1921	"GHA"		-17.85
1922	"GHA"		-31.54
1923	"GHA"		-14.16
1924	"GHA"		0.2
1925	"GHA"		-0.52
1926	"GHA"		-0.15
1927	"GHA"		-10.78
1928	"GHA"		12.29
1929	"GHA"		-23.15
1930	"GHA"		-14.82
1931	"GHA"		-24.57
1932	"GHA"		22.99
1933	"GHA"		2.75
1934	"GHA"		-1.18
1935	"GHA"		2.22
1936	"GHA"		-1.15
1937	"GHA"		2.56
1938	"GHA"		-2.37
1939	"GHA"		0.01
1940	"GHA"		16.2
1941	"GHA"		29.94
1942	"GHA"		5.3
1943	"GHA"		5.66
1944	"GHA"		5.36
1945	"GHA"		5.08
1946	"GHA"		6.45
1947	"GHA"		2.02
1948	"GHA"		1.98
1949	"GHA"	9.52	15.0
1950	"GHA"	14.29	14.78
1951	"GHA"	17.39	16.67
1952	"GHA"	-10.19	-1.95
1953	"GHA"	-0.77	-0.66
1954	"GHA"	0.0	-0.67
1955	"GHA"	4.68	8.0
1956	"GHA"	1.99	4.63
1957	"GHA"	-0.97	-7.96
1958	"GHA"	1.72	3.85
1959	"GHA"	2.9	1.85
1960	"GHA"	4.46	
1961	"GHA"	7.87	
1962	"GHA"	3.96	
1963	"GHA"	10.22	
1964	"GHA"	15.27	
1965	"GHA"	28.11	
1966	"GHA"	5.69	
1967	"GHA"	-5.69	
1968	"GHA"	10.17	
1969	"GHA"	5.28	
1970	"GHA"	1.89	
1971	"GHA"	9.84	
1972	"GHA"	11.75	
1973	"GHA"	21.22	
1974	"GHA"	17.4	
1975	"GHA"	35.13	
1976	"GHA"	58.91	
1977	"GHA"	113.69	
1978	"GHA"	90.79	
1979	"GHA"	36.41	
1980	"GHA"	50.0	
1981	"GHA"	116.5	
1982	"GHA"	22.3	
1983	"GHA"	122.9	
1984	"GHA"	39.7	
1985	"GHA"	10.3	
1986	"GHA"	24.6	
1987	"GHA"	39.8	
1988	"GHA"	31.4	
1989	"GHA"	25.2	
1990	"GHA"	37.3	
1991	"GHA"	18.0	
1992	"GHA"	10.1	
1993	"GHA"	25.0	
1994	"GHA"	24.9	
1995	"GHA"	59.5	
1996	"GHA"	44.4	
1997	"GHA"	24.8	
1998	"GHA"	19.2	
1999	"GHA"	12.4	
2000	"GHA"	25.2	
2001	"GHA"	32.9	
2002	"GHA"	14.8	
2003	"GHA"	26.7	
2004	"GHA"	12.6	
2005	"GHA"	15.1	
2006	"GHA"	11.68	
2007	"GHA"	10.73	
2008	"GHA"	16.51	
2009	"GHA"	13.14	
2010	"GHA"	6.7	
2011	"GHA"	7.68	
2012	"GHA"	7.07	
2013	"GHA"	11.67	
2014	"GHA"	15.73	
2015	"GHA"		
1890	"KEN"		
1891	"KEN"		
1892	"KEN"		
1893	"KEN"		
1894	"KEN"		
1895	"KEN"		
1896	"KEN"		
1897	"KEN"		
1898	"KEN"		
1899	"KEN"		
1900	"KEN"		
1901	"KEN"		
1902	"KEN"		
1903	"KEN"		
1904	"KEN"		
1905	"KEN"		21.92
1906	"KEN"		0.52
1907	"KEN"		-0.19
1908	"KEN"		-5.67
1909	"KEN"		-1.56
1910	"KEN"		-2.96
1911	"KEN"		19.09
1912	"KEN"		-5.91
1913	"KEN"		-7.35
1914	"KEN"		4.02
1915	"KEN"		25.73
1916	"KEN"		
1917	"KEN"		
1918	"KEN"		
1919	"KEN"		
1920	"KEN"		
1921	"KEN"		
1922	"KEN"		
1923	"KEN"		
1924	"KEN"		
1925	"KEN"		
1926	"KEN"		
1927	"KEN"		-14.7
1928	"KEN"		12.96
1929	"KEN"		9.55
1930	"KEN"		-28.77
1931	"KEN"		7.17
1932	"KEN"		-6.04
1933	"KEN"		-15.27
1934	"KEN"		11.25
1935	"KEN"		34.87
1936	"KEN"		-37.65
1937	"KEN"		29.4
1938	"KEN"		-11.06
1939	"KEN"		42.69
1940	"KEN"		-18.86
1941	"KEN"		18.99
1942	"KEN"		-9.21
1943	"KEN"		31.8
1944	"KEN"		1.25
1945	"KEN"		21.46
1946	"KEN"		14.4
1947	"KEN"		12.59
1948	"KEN"	6.12	12.57
1949	"KEN"	1.92	1.94
1950	"KEN"	7.55	7.62
1951	"KEN"	7.02	17.26
1952	"KEN"	9.84	15.09
1953	"KEN"	4.48	6.56
1954	"KEN"	4.29	4.68
1955	"KEN"	5.48	3.66
1956	"KEN"	2.6	5.49
1957	"KEN"	3.8	2.97
1958	"KEN"	1.22	3.97
1959	"KEN"	-0.48	1.0
1960	"KEN"	0.97	0.99
1961	"KEN"	1.92	1.96
1962	"KEN"	3.88	3.85
1963	"KEN"	0.0	0.0
1964	"KEN"	-0.57	0.0
1965	"KEN"	4.98	5.56
1966	"KEN"	4.01	
1967	"KEN"	1.58	
1968	"KEN"	0.52	
1969	"KEN"	-0.17	
1970	"KEN"	2.07	
1971	"KEN"	3.71	
1972	"KEN"	6.08	
1973	"KEN"	9.35	
1974	"KEN"	17.72	
1975	"KEN"	19.19	
1976	"KEN"	11.49	
1977	"KEN"	15.01	
1978	"KEN"	17.06	
1979	"KEN"	8.08	
1980	"KEN"	13.87	
1981	"KEN"	7.9	
1982	"KEN"	13.82	
1983	"KEN"	11.6	
1984	"KEN"	20.67	
1985	"KEN"	11.4	
1986	"KEN"	10.28	
1987	"KEN"	13.01	
1988	"KEN"	4.8	
1989	"KEN"	7.62	
1990	"KEN"	11.2	
1991	"KEN"	19.1	
1992	"KEN"	27.33	
1993	"KEN"	45.98	
1994	"KEN"	28.81	
1995	"KEN"	1.55	
1996	"KEN"	8.86	
1997	"KEN"	11.92	
1998	"KEN"	6.72	
1999	"KEN"	5.75	
2000	"KEN"	9.95	
2001	"KEN"	5.82	
2002	"KEN"	2.16	
2003	"KEN"	5.98	
2004	"KEN"	8.38	
2005	"KEN"	7.82	
2006	"KEN"	6.04	
2007	"KEN"	4.27	
2008	"KEN"	15.1	
2009	"KEN"	10.55	
2010	"KEN"	4.31	
2011	"KEN"	14.02	
2012	"KEN"	9.38	
2013	"KEN"	5.72	
2014	"KEN"	7.29	
2015	"KEN"		
1890	"MAR"		
1891	"MAR"		
1892	"MAR"		
1893	"MAR"		
1894	"MAR"		
1895	"MAR"		
1896	"MAR"		
1897	"MAR"		
1898	"MAR"		
1899	"MAR"		
1900	"MAR"		
1901	"MAR"		
1902	"MAR"		
1903	"MAR"		
1904	"MAR"		
1905	"MAR"		
1906	"MAR"		
1907	"MAR"		
1908	"MAR"		
1909	"MAR"		
1910	"MAR"		
1911	"MAR"		
1912	"MAR"		
1913	"MAR"		
1914	"MAR"		
1915	"MAR"		
1916	"MAR"		
1917	"MAR"		
1918	"MAR"		
1919	"MAR"		
1920	"MAR"		
1921	"MAR"		
1922	"MAR"		
1923	"MAR"		
1924	"MAR"		
1925	"MAR"		
1926	"MAR"		
1927	"MAR"		
1928	"MAR"		
1929	"MAR"		
1930	"MAR"		
1931	"MAR"		
1932	"MAR"		
1933	"MAR"		
1934	"MAR"		
1935	"MAR"		
1936	"MAR"		
1937	"MAR"		
1938	"MAR"		
1939	"MAR"		
1940	"MAR"	25.0	
1941	"MAR"	32.0	
1942	"MAR"	38.19	
1943	"MAR"	28.51	
1944	"MAR"	34.81	
1945	"MAR"	18.99	
1946	"MAR"	56.76	
1947	"MAR"	57.47	
1948	"MAR"	40.15	
1949	"MAR"	23.0	
1950	"MAR"	1.63	
1951	"MAR"	23.2	
1952	"MAR"	5.19	
1953	"MAR"	-1.23	
1954	"MAR"	2.5	
1955	"MAR"	5.86	
1956	"MAR"	5.71	
1957	"MAR"	2.32	
1958	"MAR"	4.38	
1959	"MAR"	-2.17	
1960	"MAR"	2.22	
1961	"MAR"	2.28	
1962	"MAR"	5.41	
1963	"MAR"	5.74	
1964	"MAR"	4.23	
1965	"MAR"	2.48	
1966	"MAR"	-0.23	
1967	"MAR"	-1.13	
1968	"MAR"	1.14	
1969	"MAR"	1.69	
1970	"MAR"	1.92	
1971	"MAR"	4.4	
1972	"MAR"	3.21	
1973	"MAR"	7.19	
1974	"MAR"	15.98	
1975	"MAR"	7.01	
1976	"MAR"	10.97	
1977	"MAR"	10.81	
1978	"MAR"	9.72	
1979	"MAR"	8.65	
1980	"MAR"	9.4	
1981	"MAR"	12.5	
1982	"MAR"	10.5	
1983	"MAR"	6.2	
1984	"MAR"	12.4	
1985	"MAR"	7.7	
1986	"MAR"	8.7	
1987	"MAR"	2.7	
1988	"MAR"	2.4	
1989	"MAR"	3.1	
1990	"MAR"	6.0	
1991	"MAR"	9.0	
1992	"MAR"	5.7	
1993	"MAR"	5.2	
1994	"MAR"	5.1	
1995	"MAR"	6.1	
1996	"MAR"	3.0	
1997	"MAR"	1.0	
1998	"MAR"	2.7	
1999	"MAR"	0.7	
2000	"MAR"	1.9	
2001	"MAR"	0.6	
2002	"MAR"	2.8	
2003	"MAR"	1.2	
2004	"MAR"	1.5	
2005	"MAR"	0.98	
2006	"MAR"	3.29	
2007	"MAR"	2.04	
2008	"MAR"	3.89	
2009	"MAR"	0.97	
2010	"MAR"	0.99	
2011	"MAR"	0.91	
2012	"MAR"	1.29	
2013	"MAR"	1.88	
2014	"MAR"	1.11	
2015	"MAR"		
1890	"NGA"		3.07
1891	"NGA"		-12.84
1892	"NGA"		-0.26
1893	"NGA"		0.13
1894	"NGA"		-0.7
1895	"NGA"		-1.06
1896	"NGA"		0.26
1897	"NGA"		1.57
1898	"NGA"		-0.89
1899	"NGA"		-0.76
1900	"NGA"		0.35
1901	"NGA"		1.66
1902	"NGA"		0.64
1903	"NGA"		-2.14
1904	"NGA"		-5.49
1905	"NGA"		-3.34
1906	"NGA"		2.92
1907	"NGA"		-1.08
1908	"NGA"		0.6
1909	"NGA"		-11.66
1910	"NGA"		2.27
1911	"NGA"		0.36
1912	"NGA"		-0.43
1913	"NGA"		0.67
1914	"NGA"		0.66
1915	"NGA"		16.59
1916	"NGA"		47.8
1917	"NGA"		32.34
1918	"NGA"		24.44
1919	"NGA"		39.28
1920	"NGA"		-24.41
1921	"NGA"		-24.87
1922	"NGA"		-20.8
1923	"NGA"		22.02
1924	"NGA"		-1.17
1925	"NGA"		-2.76
1926	"NGA"		-25.25
1927	"NGA"		27.83
1928	"NGA"		-24.92
1929	"NGA"		-0.31
1930	"NGA"		-21.84
1931	"NGA"		12.51
1932	"NGA"		-8.59
1933	"NGA"		-9.4
1934	"NGA"		-4.53
1935	"NGA"		-5.11
1936	"NGA"		9.55
1937	"NGA"		-4.66
1938	"NGA"		-1.25
1939	"NGA"		4.1
1940	"NGA"		23.99
1941	"NGA"		-44.0
1942	"NGA"		112.64
1943	"NGA"		11.11
1944	"NGA"		
1945	"NGA"		
1946	"NGA"		
1947	"NGA"		
1948	"NGA"		
1949	"NGA"		
1950	"NGA"		
1951	"NGA"		
1952	"NGA"		
1953	"NGA"		
1954	"NGA"	3.1	
1955	"NGA"	6.17	
1956	"NGA"	6.86	
1957	"NGA"	1.55	
