response_id,source_group,source_title,mapped_to,status,diagnosis,proposed_solution,fix_assessment,gate,dependencies,source_locators,closure_criterion
R1-D06,detailed,Missing fixed effects in exchangeability assumption,,PARTIAL,"A formulação abreviada do corpo condiciona exchangeability apenas em H-, enquanto a derivação inclui alpha_i e tau_t e os usa na prova.","Reconciliar o enunciado do corpo com o conjunto completo e conferir a passagem de potenciais para a média observada e a ortogonalidade.",safe,"G2|G6","Definição comum do conditioning set; prova linha a linha","Rmd 460-465; identification derivation 63-71,115-171; feedback 133-141","Encerra quando corpo e derivação usam o mesmo conditioning set ou demonstram equivalência explícita e a prova afetada é revalidada."
R1-D07,detailed,Figure 4 leaves collider conditioning untested,,CONFIRMED,"Os quatro modelos da Figura 4 omitem Z_t; a figura avalia dinâmica e Z_(t-1), não o viés de incluir o collider contemporâneo.","Adicionar contraste aninhado com Z_t se ele for necessário ao claim, ou limitar título, caption e interpretação ao que os modelos testam.",needs_design,"G4|G6","Contraste do G2; DGP e especificações explícitos; código/outputs revisados","Rmd 507-559, Figure 4; feedback 145-155","Encerra quando modelos, caption e claim coincidem e qualquer claim sobre inclusão do collider é apoiado por especificação que realmente inclua Z_t."
R1-D08,detailed,Figure 5 does not isolate finite-T bias,,CONFIRMED,"Comparar mean Delta_hat ao viés de long não separa o shift populacional de b_L-b_S; a cobertura exibida é de long contra CET.","Definir beta_S^P, beta_L^P e Delta^P e decompor E[Delta_hat]=Delta^P+b_L-b_S; rotular cada cobertura pelo alvo correto.",needs_design,"G2|G4|G6","Projeção de referência e sequência assintótica definidas; verdade do DGP ou aproximação independente","Rmd 583-589; metrics.R 54-89; simulation.R 70-111; feedback 159-167","Encerra quando cada componente é estimado contra alvo explícito e a Figura 5 não usa 'isolate' sem uma decomposição demonstrada."
R1-D09,detailed,A DAG alone does not identify a direct-effect shift,,PARTIAL,"A Seção 3 exige hipóteses adicionais para efeito direto; a frase 'Only the DAG' na Seção 4 comprime indevidamente timing, exchangeability, suporte e forma funcional.","Transportar os qualificadores para a afirmação local e revalidar as provas/interpretações afetadas.",safe,"G2|G6","Contrato de mediação e alvo direto; condicionamento consistente","Rmd 315,441-442; feedback 171-179","Encerra quando nenhum trecho atribui identificação do efeito direto apenas ao DAG e todas as hipóteses aparecem junto ao claim ou por referência inequívoca."
R1-D10,detailed,Timestamp table omits known post-treatment controls,,CONFIRMED,"A regra de Z oferece plausible/ambiguous quando não é pré-tratamento, embora janelas não sobrepostas possam estabelecer timing pós-tratamento conhecido.","Separar status temporal em pré, pós, plausível e ambíguo; classificar papel causal em etapa distinta.",safe,"G2|G3|G6","Taxonomia temporal e evidência documental definidas; workflow atualizado","Rmd 240-275, especially 250; feedback 183-199","Encerra quando a taxonomia registra pós-exposição documentada e deixa claro que timing não determina sozinho mediador, collider ou outro papel."
R1-D11,detailed,Workflow and Section 4.1 leave the diagnostic's nesting unclear,,CONFIRMED,"Passos 3-4 e 'moved' não dizem se Z_(t-1) permanece; substituição não satisfaz o produto único da comparação aninhada.","Fixar inclusão de Z_t mantendo a história como comparação principal e decompor qualquer troca em adição e retirada aninhadas no mesmo modelo de união.",needs_design,"G2|G3|G4|G5","Modelos por conjuntos; mesma amostra/transformação; estimabilidade do modelo de união","Rmd 408-417,446-451,629-637; feedback 203-213","Encerra quando um leitor reconstrói cada RHS e verifica por prova/teste que o shift reportado corresponde ao contraste declarado."
R1-D12,detailed,Table 6 does not separate the mixed-design targets,,CONFIRMED,"Nas linhas mediator+confounder, 1,023 e 1,016 são numericamente mais próximos de 1,03 do que de 1,00; sem incerteza, a descrição 'near direct' não está estabelecida.","Reportar distâncias aos dois alvos, incerteza Monte Carlo e linguagem compatível; preservar os DGPs e parâmetros originais.",safe,"G4|G6","Outputs por replicação ou summaries adequados; precisão Monte Carlo definida","Rmd 597-625, Table 6; feedback 217-231","Encerra quando a tabela e a prosa distinguem alvos e a caracterização de proximidade é sustentada por distância e incerteza."
R1-FU1,followup,Distinct diagnostic value,R1-G1,PARTIAL,"O follow-up reitera que a decomposição pode ser lida como reformulação elegante de princípios conhecidos; isso coincide com o diagnóstico parcial de G1.","Demonstrar uma decisão ou erro evitado diante do melhor comparador com a mesma informação; registrar equivalência se a vantagem desaparecer.",needs_design,"G1|G4|G5|G7","R1-G1; comparador forte; ficha do teste; evidência controlada e aplicação","Follow-up 13-14; Rmd 184-192,389-444","Encerra junto com R1-G1; o record deve mostrar ganho distinto ou reduzir explicitamente o claim."
R1-FU2,followup,Align theory and empirical applications,"R1-G5|R1-D02",PARTIAL,"O follow-up pede aplicação flagship CET; os casos atuais reconhecem escopo não contemporâneo, mas não exercitam o baseline ou a incerteza pareada.","Selecionar e executar aplicação central CET compatível; preservar os casos existentes em função descritiva delimitada.",needs_design,"G1|G3|G5|G6","R1-G5; R1-D02; aplicação elegível; procedimento inferencial validado","Follow-up 15; Rmd 194,646-650,732-736","Encerra junto com R1-G5 e R1-D02, com aplicação completa ou decisão explícita de reduzir o escopo."
R1-FU3,followup,Operationalize lag order and history,R1-G3,PARTIAL,"O follow-up repete a lacuna prática da escolha de história; a condicionalidade teórica existe, mas a regra aplicável não.","Definir procedimento observável de história/lag e saídas causal, descritiva ou inconclusiva; calibrar escolhas orientadas por dados.",needs_design,"G2|G3|G4","R1-G3; classe causal; regra primária; matriz de compatibilidade","Follow-up 16; Rmd 457-501,629-637","Encerra junto com R1-G3 quando terceiros executam a regra e suas fronteiras de validade são avaliadas."
R1-FU4,followup,Reconcile nesting and variable substitution,"R1-G2|R1-D11",CONFIRMED,"O follow-up repete a divergência comprovada entre a identidade de inclusão e o workflow que pode sugerir troca.","Aplicar a arquitetura de modelo de união ou impor nesting estrito, com RHS, amostra e ordem explícitas.",needs_design,"G2|G3|G4|G5","R1-G2; R1-D11; prova; testes determinísticos; modelos estimáveis","Follow-up 17; Rmd 408-420,446-451,629-637","Encerra junto com R1-G2 e R1-D11 quando todas as comparações do paper são matematicamente cobertas e operacionalmente inequívocas."
