path,exists,sha256,role
derivations/specification_shift_vs_ivb.Rmd,true,29ed909bd1ccfccab5539169969d6b542406b087cbdd8ee1f853c580cde7bdab,supporting source/output
derivations/specification_shift_vs_ivb.pdf,true,b6395d1a7152fa68c69b865298643b0f28cd440d0f27e951d59d79fdca85d0ca,supporting source/output
derivations/adl_cet_identification_conditions.Rmd,true,f67b41089d49018dc2c1b3a6cd80ce49b67dee771df75bdf72953d9a5e64db70,supporting source/output
derivations/adl_cet_identification_conditions.pdf,true,2be77c7262aa948d66eec33a5ff4db6d828f5a18bb1c7b2c407a22c54d0d2795,supporting source/output
derivations/dynamic_dags.md,true,f64d974ec4ac022c07424fcedb3fba71b8b17010885184918850b5f39aaeed93,supporting source/output
derivations/dynamic_dags.pdf,true,cb3ce961c743df6b945200f7a21a695502bab55cbea87d7e8400d4023c250cf8,supporting source/output
derivations/multivariate_specification_shift.Rmd,true,551d6e46a7a8332e47fc5cccf81b5a52c2058941bee1f88ce5c38fdd97386d64,supporting source/output
derivations/multivariate_specification_shift.pdf,true,fbfc40b5163165679b18e0b886045d04632ebe9abd4a18f4d21035de642d6d84,supporting source/output
derivations/scripts/test_multivariate_specification_shift.R,true,5f88f1e7f6255c7397f7903b0e85145ea64b70e24f1db04ff9d7ac9535f32c87,supporting source/output
derivations/shift_allocation_correlated_controls.Rmd,true,ac3796a2d67dc08c759c7923d827b70656f7c57dbacbe22a27cadd8d6f49af09,supporting source/output
derivations/shift_allocation_correlated_controls.pdf,true,b80c0a8c0468ef199dd18a16f730205eea2b8ce6210d3c722453c53f050b20af,supporting source/output
derivations/scripts/shift_allocation_correlated_controls.R,true,4a1873615c794bd12a279c60ad2974c41c5d995ee8c36d363acf1db99f2d52b0,supporting source/output
derivations/specification_shift_uncertainty.Rmd,true,317b7a81101a75e60ad3c9466500106878dd3b84dfc48f05722517699fbed963,supporting source/output
derivations/specification_shift_uncertainty.pdf,true,aa5bf9413e8ac4071ac48b0e9bfb7dc03a908e4e8e5f53fbed198068bcf58a85,supporting source/output
derivations/scripts/specification_shift_uncertainty.R,true,1918e907b51ea58980a75fbb9b4ab93e4d4319af7a084e8a05d8be6a6bcba45b,supporting source/output
derivations/scripts/test_specification_shift_uncertainty.R,true,0a7f2a729b0b68e2a5b1db1e85c88568673130d71a9a45ede3a5451793dad6c5,supporting source/output
quality_reports/cet_timing_checklist.md,true,3a34aeadb10862af46812472123e73538dd18a589bcfc443f070425fe2e758ab,supporting source/output
quality_reports/cet_application_timing_audit.csv,true,0ddf84ac8ed60c88ba7b474a78d5fd55c757b4370198f58f53152d029a95230c,supporting source/output
quality_reports/simulation_design_inventory.csv,true,8181466aef9e9e9cebb6faaa6a73038143d33054775b43835b071430b50d20e6,supporting source/output
quality_reports/simulation_design_inventory.Rmd,true,3391ba41b1b2d671b6f18a99e8ce1a5854fac5fd3d82f2c0190090be5b2f9809,supporting source/output
quality_reports/simulation_design_inventory_manifest.csv,true,79eba55a0ecb0302209dba37f567f90b3ebaa181bc1f152688a17776d4a9b877,supporting source/output
quality_reports/simulation_design_inventory_validation.csv,true,81d94282bca9fdb30d8dd0d0bf81f5a5a196821bfd83594c723d15c24fca825e,supporting source/output
quality_reports/build_simulation_design_inventory.R,true,77a0b642e1f793b7a40b8d0c598455f992650485138cf3c20ecd13d14bcb7a27,supporting source/output
quality_reports/task11_dual_role_firewall/build_task11_figure_firewall.R,true,867ea51ac8b387b377dbfd54d0da9e4c05bf940b7b918925d165e7105a404862,supporting source/output
quality_reports/task11_dual_role_firewall/figure_2_plot_data.csv,true,42851ca731ad70e686db54e07df10520df41b09cd6d54406c856e51a4867b852,supporting source/output
quality_reports/task11_dual_role_firewall/table_firewall_mc.csv,true,37b63545d9b45c06bac5b87a89ec2a8257a6e2a66485358ee1d0d71fcb86711b,supporting source/output
quality_reports/task11_dual_role_firewall/validation.csv,true,d9520992cf5aca6be1c2b1d3be9b210ee39ad074a8ccee8c61109dec7407ca25,supporting source/output
quality_reports/task11_dual_role_firewall/source_manifest.csv,true,1be7959b584fda96e9081150732253ced487c92ae0bb83079cbde2d2d079a0ad,supporting source/output
quality_reports/task11_dual_role_firewall/task11_dual_role_firewall_appendix.Rmd,true,8600ab067b773a52e53f67f42c5d7b33c13c7226e2bfdff5986c1d32ad4c1467,supporting source/output
quality_reports/task12_boundary_conditions.csv,true,a035fd0f1f7b98ed38d351226e183437c56b9bf22ca838e86544eeb01fa85159,supporting source/output
quality_reports/task12_boundary_conditions_compact.csv,true,7c4cc1b5a9e3c20a6d39762072893331f81f0adb5064ee4b5be604ac67359423,supporting source/output
quality_reports/task12_reconciliation.csv,true,cd2e060a0524327124c2dd4ef995303a76e67d4fdabcec0ab43aee2fccd7bb23,supporting source/output
quality_reports/task12_static_validation.csv,true,3f6cc339fcfe7d4d336056462757c86f2b17c0af96c845015131528b99b90a21,supporting source/output
quality_reports/task12_boundary_conditions_audit.Rmd,true,ee93e2062e27435382d91a04b37818ead73dc941b98a7444d996322e30fb5348,supporting source/output
quality_reports/task12_boundary_conditions_audit.pdf,true,d4078e9132c58af14a4a1c90eb7eb3efb049cc3e111129178b04896e85fe4a64,supporting source/output
quality_reports/task12_simulation_hashes_before.sha256,true,1dfa28f59d4a6b430fdfd8147e36bd7e83d1f0fc9515391726e796b8c5c1d634,supporting source/output
quality_reports/task12_simulation_hashes_after.sha256,true,1dfa28f59d4a6b430fdfd8147e36bd7e83d1f0fc9515391726e796b8c5c1d634,supporting source/output
simulations/finite_T_dynamic_panel/README.md,true,51d63d349d435e5f3aee656ab4db3a5071e751d82f1656679bb7b3d6134304b3,supporting source/output
simulations/finite_T_dynamic_panel/run_finite_T_dynamic_panel.R,true,1582a4af2e564e36a361022b4528b4a6f3fad09c680a36d922bc34416b8ef96a,supporting source/output
simulations/finite_T_dynamic_panel/R/config.R,true,260c9ff1a81104d0217ff2cf454a4143a46422cb88a7d0e6f49aad247d40a584,supporting source/output
simulations/finite_T_dynamic_panel/R/dgp.R,true,7d81eae5c11628da36f3636f90286c1b3a6203e369fb048fc2cf61da21d7a6d1,supporting source/output
simulations/finite_T_dynamic_panel/R/estimators.R,true,ab3892546f3ce0d010cc39c8af7a8bc3133b3c4f8777c62e3f9e7bde45f7b0ed,supporting source/output
simulations/finite_T_dynamic_panel/R/metrics.R,true,c6c424be0f819a6d80c35af42862cffeb02982d251402bf78339f155e8b3fd6f,supporting source/output
simulations/finite_T_dynamic_panel/R/simulation.R,true,c242194a97e38101b7a466fca3ea475038a4abb6547e7c5bb9a12f6f5be6b254,supporting source/output
simulations/finite_T_dynamic_panel/results/scenario_estimator_summary.csv,true,1126e5414880297884013a0a95ed77af324c103e1d169228cf23275a9ed0423f,supporting source/output
simulations/finite_T_dynamic_panel/results/raw_replications.csv,true,f2d3e1e103a9bd6345f389f61f97dd2c3dee12f0c5cb95ad8873b2cdc2523126,supporting source/output
simulations/finite_T_dynamic_panel/results/run_manifest.csv,true,6dfdd1c8e33800ac520d78661ae74a9c66a7f347a1e6f4b8a0509fbf061b0122,supporting source/output
simulations/finite_T_dynamic_panel/results/code_manifest.csv,true,5a74ee66b35e2ab78a60ac64bc574d95f117168e9adc7301621ca9e245bf414b,supporting source/output
simulations/finite_T_dynamic_panel/results/stability_checks.csv,true,ee8482be69490ce1f78fbf6c4c511705f629ce2799891edbafc0a7050ad997ae,supporting source/output
simulations/finite_T_dynamic_panel/results/failures.csv,true,89a653b32713225fd4fb35f5815e909351a2d34ccb52cadb6baf67b937fffff1,supporting source/output
simulations/finite_T_dynamic_panel/results/session_info.txt,true,22f9fa6c4bcf4758346610afbbb9e0712b47c7e08a50b0871dc74fde14798374,supporting source/output
quality_reports/task13_finite_T_dynamic_panel/task13_protocol_and_code_review.md,true,b5656ddf5e0f580a57b7af1666ee26fb6fb9f9fdc7363661e73a71f3ff3bb212,supporting source/output
quality_reports/task13_finite_T_dynamic_panel/independent_review_terra_high.md,true,d0625781516af653ae8afe0c94c248fc9b2ca5429e8836de572da7993f541108,supporting source/output
quality_reports/task13_finite_T_dynamic_panel/reproducibility_audit_ivb_paper_pa_task13.md,true,a4f7a5eca15d57fa2b23c3c5050a417704dc950d71fc8f10d8691c5da5b5ab69,Task13 audit
quality_reports/task13_finite_T_dynamic_panel/task13_main_text_summary.csv,true,c953b9d2fa88d8b164a06e8450aaf4fcc0f79e016873386b3469dd41b7857eab,supporting source/output
quality_reports/task13_finite_T_dynamic_panel/task13_estimator_summary.csv,true,5abaae6e5a5f1be8c05b553d21fb0616077ac581d5df4a82055edc904fc4ebd4,supporting source/output
simulations/lag_misspecification_persistence/README.md,true,efee7d1664d61f47499c88c4a82c05fd1168c03d230124f24034c9847efabd09,supporting source/output
simulations/lag_misspecification_persistence/task14_protocol.md,true,8fc8a93d57feb40a58ca08dcf8def26a64d35d09d00bfb6a5075ca962625e2ec,supporting source/output
simulations/lag_misspecification_persistence/run_lag_misspecification_persistence.R,true,962e6f4318998d5a31640a47afe8131a2400ee7b7a001f03150f3a2b847edfdc,supporting source/output
simulations/lag_misspecification_persistence/R/metrics.R,true,7aa204b9caf9dd460f6c12e939a0c96018e57cf4311a0fa7c4087cda4a55b2c7,supporting source/output
simulations/lag_misspecification_persistence/R/simulation.R,true,4d182e0b81277e641d26bf4a223574100c80c02cd08ed72d122384ddc2da56ea,supporting source/output
simulations/lag_misspecification_persistence/results/checkpoints/L1_RD20_CO00.csv,true,6fb4545d5e430b945e03feb0f4156d84185a867ae69ddcaa50f83845af30d2eb,supporting source/output
simulations/lag_misspecification_persistence/results/checkpoints/L1_RD20_CO25.csv,true,5b54a9fb348835814233d1bfb8dd8c6ef5610f058c94a0b6b78b967bd5df7340,supporting source/output
simulations/lag_misspecification_persistence/results/run_log.txt,true,a22ed81a1c5188ffc7321bb9bd6cae1836419b8bacc50e05d3df325f39a4ae50,supporting source/output
quality_reports/task14_lag_misspecification_persistence/independent_review_terra_high.md,true,44e5bc3165aeb0c98da904b2b935bca766645932f4ae78417c35714f689b9543,Task14 pre-execution PASS
quality_reports/task14_lag_misspecification_persistence/independent_review_terra_high_external.md,true,d0b51e3686e5a1e60750482cfbf5d6030a2241c59524bf82cc71042a755ca6ba,Task14 historical REPAIR
quality_reports/task14_lag_misspecification_persistence/independent_review_terra_high_external_rereview.md,true,183e2e1fed1a17172d3d7e5e891085192f9575272e115f4b0ef1204afd74f316,Task14 rereview REPAIR
replication/compute_standardized_ivb.R,true,bb5f506e3766198569e32ea6a0a9f334223b53415b29026139bb0551e70e000f,selection/output script
replication/standardized_ivb_metrics.csv,true,1644057c7df2bf8dd779757ee613e8367396fef5a673f265501a0960ba087e00,candidate output
replication/claassen_replication_ivb.R,true,be950093bea02f308160f2cdf2fc67de31251f4a394d03c95d384f7ed4a96147,supporting source/output
replication/leipziger_replication_ivb.R,true,8c17082f94ff2b6f6f9e8791134db61bea80bf61a83422ede39572e4550b3d6c,supporting source/output
replication/peacekeeping_replication_ivb.R,true,57acd9e2c1d9ccdea26dff8828077d26982641cef6332468175cbc091307e1ea,supporting source/output
replication/fiscal_state_replication_ivb.R,true,d16fc8eab0617ab54b58b189f08cf6de89436fb9dfd6d93f14f2b208526f89c5,supporting source/output
replication/candidate_papers/claassen_2020/Support_democracy_ajps_correct.tab,true,951de2c0bad944b8753bcb9ef6fe1286c7285b8ca95bcc207ce5e63dc1732f49,supporting source/output
replication/candidate_papers/leipziger_2024/Country-level_dataset.tab,true,dcbc98d49aead71d840cdaa2a1c5e5f7b8483ca4a7c94cf55756839bedd57e51,supporting source/output
replication/candidate_papers/peacekeeping/data_replication.dta,true,0a1ea0ace2f379acee18ba34d6a617f15a3d46e8912a19c43e521e0bcc5a727b,supporting source/output
replication/candidate_papers/fiscal_state_ivb_results.csv,true,90cd7e42e0aeaae4c4574393f7077bbfa28a7adc798e79f0a0d751d59e254531,supporting source/output
replication/candidate_papers/post_office_2022/country_panel.tab,true,6a5064eedf100e59ded8f11125f5f2800ea10db18f63048bb2d6cf9cb2f98745,supporting source/output
replication/candidate_papers/post_office_2022/main_analyses.do,true,28b4f7b4bda495d0f64978b71ecf55fe83e71fdcd5710fce1c3e4adf19a598a2,supporting source/output
replication/candidate_papers/ballard_rosa_2022/Coming_to_Terms_data.tab,true,9871f8e5bb89cd0cbaabb63608f183469f7e55a2324af4e55504041fe8a28f16,supporting source/output
replication/candidate_papers/ballard_rosa_2022/IO replication.do,true,5092de0e836cc6ddb14d7d0fe20b7437af9b2cd04549256f55ab65effddb536a,supporting source/output
quality_reports/overcontrol_unified_report.md,true,4dd7551af2453f15ea1e6e6b559e9718f62e9e6750ce489a591ca22120b68619,overcontrol report
quality_reports/overcontrol_simulation_report.md,true,6eb7a8e97889b667dff5055e0c21b86d3878508db2127c3e1c88843eb0a1a141,supporting source/output
simulations/overcontrol/sim_overcontrol.R,true,42695d9cb0627c8bd2c4aa7227685a8cb8f9421c1c167ce23936f9f315a49ecd,supporting source/output
simulations/overcontrol/results/sim_overcontrol_results.csv,true,4b8ab8a82e89ffb756d931325d481ad6710341229ddfbee781505cb487de4750,overcontrol aggregate
simulations/overcontrol/results/sim_overcontrol_console.txt,true,e678fcd31918bbf855f26604bccb6e0aa2233a620e87339997a3591f34c34ebd,supporting source/output

