recommendation_id,feedback_section,recommendation,validity,existing_evidence,decision,action,responsible_file,status
S5.10,5.10,"Apresentar para cada aplicação detalhada DAGs concorrentes de confounding e de resposta ao tratamento para mostrar interpretações causais distintas do mesmo Delta.",Aceita,"PA e PSRM verbalizam a ambiguidade de Leipziger e Rogowski, especialmente no último, sem pares de DAGs time-indexed.",Implementar,"Construir e fundamentar dois DAGs concorrentes para Leipziger e dois para Rogowski.","figures/applications/; quality_reports/application_dag_evidence.md; ivb_paper_pa.Rmd",planned_p1
S8.1,8,"Reorganizar o manuscrito na sequência estimando e motivação, DAGs/definições, decomposição descritiva, interpretação causal, benchmark/identificação, simulações, aplicações e escopo.",Aceita,"PA e PSRM repetem a contribuição diagnóstico+benchmark em introdução, seções e conclusão; o relatório Edmans também recomenda encurtar e reordenar.",Implementar,"Aplicar a arquitetura proposta na Task 24 após estabilizar os fundamentos formais e as evidências.",ivb_paper_pa.Rmd,blocked_by_prior_tasks
S8.2,8,"Substituir rótulos avaliativos como ADL safe e ADL bad por rótulos neutros de especificação.",Aceita,"PA usa explicitamente ADL bad e ADL safe em objetos, tabela e prosa; PSRM contém os mesmos rótulos.",Implementar,"Padronizar nomes descritivos e revisar usos de safe, bad, dominates e solves.",ivb_paper_pa.Rmd,planned_p0
S9.1,9.1,"Definir Delta_Z = beta_long - beta_short = -theta_Z pi_D como objeto algébrico de projeções lineares aninhadas.",Aceita,"PA e PSRM apresentam a identidade FWL, mas a chamam predominantemente de IVB.",Implementar,"Promover o deslocamento de especificação a definição formal primária.","derivations/specification_shift_vs_ivb.Rmd; ivb_paper_pa.Rmd",planned_p0
S9.2,9.2,"Fazer a classificação causal depender de DAG time-indexed e conhecimento temporal substantivo, incluindo a categoria ambígua.",Aceita,"PA e PSRM listam collider, confounder, mediator e dual-role; os DAGs ainda não são suficientemente dinâmicos e o protocolo de codificação não é formal.",Implementar,"Integrar DAGs dinâmicos, checklist temporal e codebook de classificação.","derivations/dynamic_dags.md; quality_reports/application_selection_protocol.md",planned_p0
S9.3,9.3,"Usar Bias(beta_long) = beta_long - beta_CET somente depois de definir o CET e impor hipóteses de identificação.",Aceita,"PA e PSRM incluem caveats, mas ainda alternam linguagem de bias e de mudança de coeficiente.",Implementar,"Vincular toda alegação de bias a estimando, DAG e condições de identificação declaradas.","derivations/specification_shift_vs_ivb.Rmd; derivations/adl_cet_identification_conditions.Rmd",planned_p0
S10.1,10.1,"Variar N e T para identificar quando o viés dinâmico finite-T é comparável ou maior que o problema de controle inadequado.",Aceita,"T=30 domina os desenhos existentes; há discussão de Nickell bias, sem mapa finite-T.",Aguardar autorização,"Executar o grid N/T da Task 13 apenas com aprovação explícita.","simulations/finite_t_dynamic_bias/",pending_author_approval
S10.2,10.2,"Variar a persistência de D_t, além das persistências de Y_t e Z_t.",Aceita,"PA e PSRM discutem persistência do tratamento e contêm alguns desenhos dinâmicos, mas não um stress grid dedicado para esta pergunta.",Aguardar autorização,"Incluir rho_D no stress grid pré-especificado da Task 13, condicionado à aprovação.","simulations/finite_t_dynamic_bias/",pending_author_approval
S10.3,10.3,"Comparar ADL com um e dois lags, lag verdadeiro e lags escolhidos por critérios de informação sob lag misspecification.",Aceita,"PSRM registra extensão ADL(p,q), mas não há comparação sistemática de especificações de lag.",Aguardar autorização,"Executar somente o desenho da Task 14 após aprovação do autor.","simulations/lag_misspecification/",pending_author_approval
S10.4,10.4,"Permitir parâmetros autorregressivos e efeitos de tratamento heterogêneos entre unidades.",Aceita com gate,"Há diagnóstico heterogêneo identificado no plano, mas nenhuma alegação principal exige essa nova bateria.",Decisão condicional,"Produzir memo go/no-go; simular apenas se uma claim mantida exigir o teste.","quality_reports/heterogeneous_dynamics_gate.md",conditional_gate
S10.5,10.5,"Introduzir fatores comuns ou erros correlacionados entre unidades para tratar dependência transversal.",Aceita com gate,"O manuscrito reconhece limites de dependência transversal, mas não há DGP de fatores comuns no núcleo TSCS.",Decisão condicional,"Separar identificação sob fatores omitidos de inferência e produzir memo go/no-go antes de qualquer simulação.","quality_reports/cross_sectional_dependence_gate.md",conditional_gate
S10.6,10.6,"Investigar erro de medida em Z_t e Z_t-1.",Aceita,"A cobertura obrigatória do inventário e a Task 12 identificam resultados já existentes para erro de medida; o material ainda não está integrado em tabela única.",Implementar sem nova simulação,"Auditar e integrar os resultados existentes, com magnitude, script e interpretação.","quality_reports/simulation_boundary_conditions.csv; online_appendix/",planned_p0
S10.7,10.7,"Avaliar não linearidades, interações, heterogeneidade de efeitos e variáveis dependentes limitadas e esclarecer o escopo linear da IVB.",Aceita com escopo,"Resultados existentes cobrem não linearidades; PA e PSRM já dizem que FWL não vale para links não lineares. Não há justificativa aprovada para expandir a todos os modelos sugeridos.",Implementar delimitando escopo,"Integrar robustez não linear existente e declarar IVB como diagnóstico de projeção linear; deixar extensões fora do escopo desta revisão.","quality_reports/simulation_boundary_conditions.csv; ivb_paper_pa.Rmd",planned_p0
S10.8,10.8,"Simular controles candidatos correlacionados com papéis causais diferentes e comparar diagnósticos individuais e conjuntos.",Aceita,"Não há simulação multivariada integrada; a Task 15 especifica confounder, mediator e collider correlacionados.",Aguardar autorização,"Executar somente a Task 15 pré-especificada após aprovação do autor.","simulations/multiple_controls/",pending_author_approval
S10.9,10.9,"Comparar de modo limitado ADL com MSM, g-computation, regressão sequencial e structural nested models para esclarecer escopo.","Aceita em princípio, fora do escopo","PA e PSRM situam-se diante de Blackwell-Glynn, Imai-Kim e literatura DiD; uma comparação de métodos gerais alteraria o projeto.",Não executar comparação empírica,"Inserir apenas distinção conceitual de escopo; manter MSM, g-methods e modelos estruturais como fronteiras, não como nova bateria.",ivb_paper_pa.Rmd,scope_limited
S12.1,12,"Ser mais conservador e preciso no uso da palavra bias.",Aceita,"Mesma lacuna conceitual documentada em S5.1 e S9.1-S9.3.",Implementar,"Aplicar a nova taxonomia de deslocamento, classificação e bias causal em todo o manuscrito.","derivations/specification_shift_vs_ivb.Rmd; ivb_paper_pa.Rmd",planned_p0
S12.2,12,"Declarar explicitamente as hipóteses necessárias para interpretação causal do coeficiente ADL.",Aceita,"Mesma lacuna de S5.2; há caveats distribuídos, não uma declaração formal completa.",Implementar,"Adicionar proposição e quadro identificação versus estimação.","derivations/adl_cet_identification_conditions.Rmd; ivb_paper_pa.Rmd",planned_p0
S12.3,12,"Tratar o viés dinâmico finite-T.",Aceita,"Mesma lacuna de S5.3 e S10.1; a discussão atual não substitui evidência dedicada.",Aguardar autorização,"Executar Task 13 somente após aprovação explícita; enquanto isso, fortalecer a delimitação de escopo.","simulations/finite_t_dynamic_bias/; ivb_paper_pa.Rmd",pending_author_approval
S12.4,12,"Expandir substancialmente os DAGs dinâmicos.",Aceita,"Mesma lacuna de S5.6; os diagramas atuais são elementares.",Implementar,"Substituir a figura genérica pelos três DAGs exigidos e pares de DAGs das aplicações.","figures/dags/; figures/applications/",planned_p0
S12.5,12,"Documentar completamente os desenhos de simulação.",Aceita,"Mesma lacuna de S5.5a; detalhes estão dispersos entre manuscrito, scripts e relatórios.",Implementar,"Criar inventário, apêndice e rastreabilidade de cada número a script e resultado bruto.","quality_reports/simulation_design_inventory.csv; online_appendix/",planned_p0
S12.6,12,"Desenvolver medidas de incerteza para IVB.",Aceita,"Mesma lacuna de S5.8; há derivação preliminar no Appendix G, mas não implementação validada para as aplicações.",Implementar,"Implementar e validar incerteza para Delta antes de alterar as tabelas empíricas.","derivations/specification_shift_uncertainty.Rmd; R/specification_shift_uncertainty.R",planned_p1
S12.7,12,"Estender a decomposição para múltiplos controles correlacionados.",Aceita,"Mesma lacuna de S5.7; a função suplementar não substitui tratamento formal e diagnóstico conjunto.",Implementar,"Adicionar decomposição vetorial e diagnósticos condicionais; reservar Shapley para apêndice se necessário.","derivations/multivariate_specification_shift.Rmd; R/compute_ivb_multi.R",planned_p1
S12.8,12,"Explicar os procedimentos de seleção das aplicações e de codificação causal.",Aceita,"Mesma lacuna de S5.9; classificação existente é auditável, mas o protocolo não foi formalizado.",Implementar,"Criar protocolo, codebook, planilha de coding, dupla codificação e log de seleção.","quality_reports/application_selection_protocol.md; replication/application_coding.csv",planned_p0
S12.9,12,"Tornar explícita a ordenação temporal dentro do período.",Aceita,"Mesma lacuna de S5.4; o argumento de timing atual não mapeia sistematicamente medidas agregadas para momentos causais.",Implementar,"Definir timeline do CET e aplicar checklist de timing às aplicações detalhadas.","quality_reports/cet_timing_checklist.md; ivb_paper_pa.Rmd",planned_p0
S12.10,12,"Distinguir um benchmark prático de uma solução geral de identificação.",Aceita,"PA e PSRM fazem a ressalva em diversos trechos, mas o título, rótulos e linguagem de segurança tornam a fronteira insuficientemente nítida.",Implementar,"Reformular o baseline como condicional às scope conditions e neutralizar vocabulário avaliativo.",ivb_paper_pa.Rmd,planned_p0
