inventory_id,simulation_family,source_script,source_script_md5,result_file_paths,result_file_md5,verification_basis,equations,causal_dag_description,estimand,parameter_values_or_grid,N,T,burn_in,repetitions,error_process,fixed_effects,estimated_models,metrics,coverage_tags,status,notes,quantitative_claim_provenance
dual_role_asymmetry,dual-role causal-channel asymmetry,simulations/dual_role_z/sim_dual_role_z_asymmetry.R,bde60115c7e5f3818978a797520d93c8,simulations/dual_role_z/results/sim_dual_role_z_asymmetry_results.csv,c70f7fee90dde42f0f4c7e44f923a0c5,directly verified: static source inspection plus existing versioned result artifact,Same dynamic dual-role equations; varies D->Z and Y->Z channel strengths.,Z_lag confounder; Z_t collider.,beta=1.,N/T/burn and grid directly in source; reps=500.,source,source,source,500,iid Gaussian.,unit/time FE.,TWFE and ADL short/long.,bias and net TWFE/ADL contrasts.,dual_role,verified_existing_artifacts,Use source for exact grid; no raw artifact listed.,simulations/dual_role_z/sim_dual_role_z_asymmetry.R + simulations/dual_role_z/results/sim_dual_role_z_asymmetry_results.csv
dual_role_base,dual-role Z baseline,simulations/dual_role_z/sim_dual_role_z.R,b1c7888b9b2491efda305209b7ccb11c,simulations/dual_role_z/results/sim_dual_role_z_results.csv;simulations/dual_role_z/results/sim_dual_role_z_raw.csv,b77f0509364c86788224fd6c5da30aae;9e04225b560f985750286ac7794091ca,directly verified: static source inspection plus existing versioned result artifact,D=alpha_D+gamma_D Z_lag+rho_D D_lag+u; Y=alpha_Y+beta D+gamma_Y Z_lag+rho_Y Y_lag+e; Z=alpha_Z+delta_D D+delta_Y Y+rho_Z Z_lag+nu.,Z_lag is a confounder; Z_t is collider D_t->Z_t<-Y_t.,beta=1.,"N=100,T=30,burn=100,reps=200; rho_Z and sigma_alphaZ grid in result CSV.",100,30,100,200,iid Gaussian innovations and Gaussian unit effects.,unit and time FE where applicable.,TWFE short/long; ADL short/long.,bias and MCSE by model.,dual_role,verified_existing_artifacts,Directly verified source and CSV.,simulations/dual_role_z/sim_dual_role_z.R + simulations/dual_role_z/results/sim_dual_role_z_results.csv;simulations/dual_role_z/results/sim_dual_role_z_raw.csv
dual_role_firewall,dual-role firewall sensitivity,simulations/dual_role_z/sim_dual_role_z_firewall.R,2a1528ad6ee9c72318787b049a7b4068,simulations/dual_role_z/results/sim_dual_role_z_firewall_results.csv,3a5a2bc3ac6d9abeff4197f9ceb19cbb,directly verified: static source inspection plus existing versioned result artifact,Same dynamic dual-role equations; varies outcome persistence to test whether Y_lag blocks inherited paths.,Dual-role Z with firewall through observed history.,beta=1.,"Source grid; reps=500; rho_Y includes 0,.5,.8.",source,source,source,500,iid Gaussian.,unit/time FE.,TWFE and ADL short/long.,bias and firewall comparisons.,dual_role;firewall,verified_existing_artifacts,Exact N/T values are source-verified but reported as source to avoid duplicating a parameter table.,simulations/dual_role_z/sim_dual_role_z_firewall.R + simulations/dual_role_z/results/sim_dual_role_z_firewall_results.csv
dual_role_varyT,dual-role finite-T variation,simulations/dual_role_z/sim_dual_role_z_varyT.R,b8d7ab0d7b84afefab427e9067b67b58,"","",directly verified source; result artifact absent or not linked,Same dynamic dual-role equations; varies T.,Dual-role Z with lagged confounding/current collider.,beta=1.,Source grid varies T and rho_Z; reps=200.,source,varies,source,200,iid Gaussian.,unit/time FE.,TWFE and ADL short/long.,bias by T.,dual_role;firewall,declared_output_missing,"The script declares an output path, but no matching versioned result artifact exists in the audited tree; it cannot support a numerical claim.",simulations/dual_role_z/sim_dual_role_z_varyT.R
dual_role_varyT_8models,dual-role finite-T full estimator grid,simulations/dual_role_z/sim_dual_role_z_varyT_8models.R,e2fb578510e089691525c2bd0fe957ec,simulations/dual_role_z/results/sim_dual_role_z_varyT_8models_results.csv,4914d306c2ba0d5f4f7e0131e624c4bb,directly verified: static source inspection plus existing versioned result artifact,Same dynamic dual-role equations; varies T under eight estimators.,Dual-role Z with lagged confounding/current collider.,beta=1.,Source grid varies T and rho_Z; reps=500.,source,varies,source,500,iid Gaussian.,unit/time FE in FE models.,Pooled/TWFE/ADL 2x2x2 grid.,"bias, SD, MCSE by T.",dual_role;firewall,verified_existing_artifacts,Summary-only artifact; raw results absent.,simulations/dual_role_z/sim_dual_role_z_varyT_8models.R + simulations/dual_role_z/results/sim_dual_role_z_varyT_8models_results.csv
feedback_Y_to_D,feedback Y_lag to D with extended ADL,simulations/dynamics/sim_feedback_Y_to_D.R,5b2f832a4f0b29b33c40814dddcf2df6,simulations/dynamics/results/sim_feedback_Y_to_D_results.csv;simulations/dynamics/results/sim_feedback_Y_to_D_raw.csv;simulations/dynamics/results/sim_feedback_Y_to_D_timing.csv,1cc3085c3f6885322c594c17b8dd7e64;1511e591f477dd51eb937a6d79506975;db39c6457203d672fa928017be68077f,directly verified: static source inspection plus existing versioned result artifact,D_t includes phi Y_lag; Y and Z follow dynamic dual-role equations.,"Y_lag->D_t and D_t->Z_t<-Y_t; Z_lag affects D,Y.",beta=1 conditional on recorded history.,N_REPS=500; stability-screened grid in timing CSV.,timing CSV,source,source,500,iid Gaussian; unstable parameter sets flagged.,unit/time FE.,8-model TWFE/ADL grid plus auxiliary.,"bias, RMSE/MCSE, stability/timing.",feedback;firewall,verified_existing_artifacts,Directly verified source/results.,simulations/dynamics/sim_feedback_Y_to_D.R + simulations/dynamics/results/sim_feedback_Y_to_D_results.csv;simulations/dynamics/results/sim_feedback_Y_to_D_raw.csv;simulations/dynamics/results/sim_feedback_Y_to_D_timing.csv
feedback_carryover,combined feedback and carryover,simulations/dynamics/sim_feedback_carryover.R,1b745d4fd4cbd31e9fe3e9ae9a74d8e6,simulations/dynamics/results/sim_feedback_carryover_results.csv;simulations/dynamics/results/sim_feedback_carryover_raw.csv;simulations/dynamics/results/sim_feedback_carryover_timing.csv,fc9bfa98cd8e2fff2ede9d3cd79b2f44;ffb5099f92e9e48911f1c91837bea1ff;9ef0aa9056ec7f54aecdbc64e7976626,directly verified: static source inspection plus existing versioned result artifact,D_t includes phi Y_lag; Y_t includes beta D_t+beta2 D_lag with dynamic Z.,Lagged feedback and carryover within dual-role structure.,beta=1; misspecified models can target composite effects.,"N_REPS=500; phi,beta2,rho_Z grid in timing CSV.",timing CSV,source,source,500,iid Gaussian.,unit/time FE.,8-model TWFE/ADL grid.,"bias, RMSE, ranking, timing.",feedback;carryover;firewall,verified_existing_artifacts,Interpretation explicitly depends on included treatment lags.,simulations/dynamics/sim_feedback_carryover.R + simulations/dynamics/results/sim_feedback_carryover_results.csv;simulations/dynamics/results/sim_feedback_carryover_raw.csv;simulations/dynamics/results/sim_feedback_carryover_timing.csv
jensen_twoperiod,Jensen-calibrated two-period DiD,simulations/dynamics/sim_jensen_two_period.R,fcdf5b09062d8f10938d8bec4c356377,simulations/dynamics/results/sim_jensen_two_period_summary.csv;simulations/dynamics/results/sim_jensen_two_period_raw.csv;simulations/dynamics/results/sim_jensen_two_period_decomp.csv;simulations/dynamics/results/sim_jensen_two_period_scenarios.csv,05b6961ce53319b442c4dfb42f6d8b1e;211e6fbdf9d0f396b5b6d0794b696b91;c5920edb0167065bf293eb6c82d7a286;37443c176cf62a6456d0d8abe58e06fa,directly verified: static source inspection plus existing versioned result artifact,"Binary D determined by X,V; post controls Zm (mediator-like) and Zc (collider-like) and post shock U enter the two-period potential-outcome design.","D->Zm->Y; D->Zc<-U->Y; baseline X,V affect D and trends.",ATT_total=tau_direct+y_zm*zm_d+y_zc*zc_d.,"Defaults: n=5,000,reps=500,seed=20260323; three scenario parameter sets in scenarios CSV.","5,000 default",2,not applicable,500 default (CLI override),"Gaussian shocks; Bernoulli V,D from logistic probabilities.",unit FE; no time FE in documented models.,"DiD baseline, TVC, safe pre-treatment interaction, full model.","coefficient shifts, error against ATT_total, decomposition summaries.",mediator_overcontrol;contemporaneous_unobserved_confounding,verified_existing_artifacts,User-supplied CLI options mean actual execution should be established from saved scenario/result metadata.,simulations/dynamics/sim_jensen_two_period.R + simulations/dynamics/results/sim_jensen_two_period_summary.csv;simulations/dynamics/results/sim_jensen_two_period_raw.csv;simulations/dynamics/results/sim_jensen_two_period_decomp.csv;simulations/dynamics/results/sim_jensen_two_period_scenarios.csv
mechC_adl,dual-role / firewall ADL battery,simulations/v4_mechanisms/sim_mechC_adl.R,b9d438322ecd12ddb0d5ee892af5949e,simulations/v4_mechanisms/results/sim_mechC_adl_results.csv;simulations/v4_mechanisms/results/sim_mechC_adl_raw.csv;simulations/v4_mechanisms/results/sim_mechC_adl_timing.csv,039b09403a568bb4f9fb8bf290935059;e37935d7650b9d3d4e04e1b3c09057ca;c51e858d3a69a19a39cc7b2e0392ccf9,directly verified: static source inspection plus existing versioned result artifact,"Dynamic dual-role system with D,Y,Z lags; Z_t responds to D_t and Y_t and Z_{t-1} transmits prior confounding/collider structure.","Z_{t-1}->D_t and Z_{t-1}->Y_t; D_t->Y_t; D_t->Z_t<-Y_t. Conditioning on Y_{t-1},Z_{t-1} is the tested firewall.",direct beta=1 under the stated DGP.,Grid documented in source and timing CSV; N_REPS=500.,timing CSV,timing CSV,source parameters,500,iid Gaussian innovations.,unit and time FE.,"8-model FE grid: TWFE; ADL with Y_lag, D_lag, Z_lag combinations.","bias, RMSE/MC summaries and model comparisons.",dual_role;firewall,verified_existing_artifacts,Parameter values are intentionally left to versioned timing CSV rather than transcribed from a mutable console.,simulations/v4_mechanisms/sim_mechC_adl.R + simulations/v4_mechanisms/results/sim_mechC_adl_results.csv;simulations/v4_mechanisms/results/sim_mechC_adl_raw.csv;simulations/v4_mechanisms/results/sim_mechC_adl_timing.csv
nl_carryover,nonlinear carryover,simulations/nonlinearity/sim_nl_carryover.R,2f99396978761a97c3dcf798c3211782,simulations/nonlinearity/results/sim_nl_carryover_results.csv;simulations/nonlinearity/results/sim_nl_carryover_raw.csv;simulations/nonlinearity/results/sim_nl_carryover_timing.csv,f4b50985d3d11960dfd8c8a73e0e0ef1;a6c6a2ffa520f862bfc94cfa742275f4;faa3636f05c4115bfab0d87a0127af6d,directly verified: static source inspection plus existing versioned result artifact,Dynamic dual-role DGP with nonlinear carryover beta_nl and k applied to treatment history.,Lagged dynamics with collider structure.,direct beta=1 and model-specific estimands under carryover.,"N_REPS=500; k={0,.05,.1,.25,.5,1}; rho_Z={.5,.7}; raw/softclamp variants.",timing CSV,source,source,500,iid Gaussian.,unit/time FE.,TWFE and ADL variants.,"bias, RMSE, MCSE, timing.",nonlinearity;carryover;firewall,verified_existing_artifacts,Total-effect interpretation under nonlinear carryover must follow source definitions.,simulations/nonlinearity/sim_nl_carryover.R + simulations/nonlinearity/results/sim_nl_carryover_results.csv;simulations/nonlinearity/results/sim_nl_carryover_raw.csv;simulations/nonlinearity/results/sim_nl_carryover_timing.csv
nl_collider,nonlinear collider / firewall,simulations/nonlinearity/sim_nl_collider.R,00e47ea055bba0a840e0f99258c77902,simulations/nonlinearity/results/sim_nl_collider_results.csv;simulations/nonlinearity/results/sim_nl_collider_raw.csv;simulations/nonlinearity/results/sim_nl_collider_timing.csv,effdf1df03d76b36f1cb0b5850373bed;a4d990e1c4b9ccb5c4a4e3a8f90114d2;7cd3ff8c0de40e0b951fdec1bc1f7d06,directly verified: static source inspection plus existing versioned result artifact,"Dynamic dual-role DGP with nonlinear D->Z and/or Y->Z functions (log2, log4, softpoly2, power1.5, sin, invlogit, tanh, Dlog, Y2).",Lagged Z confounder/current Z collider under nonlinear channels.,beta=1.,"N_REPS=500; T={10,30}; exact nonlinear grid in timing CSV.",timing CSV,10;30,source,500,iid Gaussian innovations; unstable draws handled in source.,unit/time FE.,TWFE and ADL variants via shared estimator utility.,"bias, RMSE, MCSE and timing.",nonlinearity;firewall,verified_existing_artifacts,Directly verified; numerical ranges preserved in versioned timing/results CSVs.,simulations/nonlinearity/sim_nl_collider.R + simulations/nonlinearity/results/sim_nl_collider_results.csv;simulations/nonlinearity/results/sim_nl_collider_raw.csv;simulations/nonlinearity/results/sim_nl_collider_timing.csv
nl_interact,nonlinear D-by-history interaction,simulations/nonlinearity/sim_nl_interact.R,09e54df37793a3668e67cc5c82dab629,simulations/nonlinearity/results/sim_nl_interact_results.csv;simulations/nonlinearity/results/sim_nl_interact_raw.csv;simulations/nonlinearity/results/sim_nl_interact_timing.csv,5693affc63d054d158e8cccb1cbbd18c;62962188ab95fc2e0211565080577054;28b66dd03707d10a47e603b6550a7bdd,directly verified: static source inspection plus existing versioned result artifact,Dynamic dual-role DGP with interaction term delta_DH (see source) in Z process.,"Lagged Z confounder/current collider, nonlinear interaction.",beta=1.,N_REPS=500; grid delta_DH and rho_Z in timing CSV.,timing CSV,source,source,500,iid Gaussian.,unit/time FE.,TWFE and ADL variants.,"bias, RMSE, MCSE.",nonlinearity;firewall,verified_existing_artifacts,Equation shorthand; source is controlling specification.,simulations/nonlinearity/sim_nl_interact.R + simulations/nonlinearity/results/sim_nl_interact_results.csv;simulations/nonlinearity/results/sim_nl_interact_raw.csv;simulations/nonlinearity/results/sim_nl_interact_timing.csv
overcontrol_contemp,contemporaneous pure-mediator over-control,simulations/nonlinearity/sim_overcontrol_contemporaneous.R,9de2839f385a0e9ed0f6b865f8ffb043,simulations/nonlinearity/results/sim_overcontrol_contemporaneous_results.csv;simulations/nonlinearity/results/sim_overcontrol_contemporaneous_raw.csv;simulations/nonlinearity/results/sim_overcontrol_contemporaneous_timing.csv,c426434b77997072b095a3d2abe0d282;4d118a1ebcef2b10cf3d2b4e96af74ef;b477293f6c5ba69d0e553d2aedcfb50b,directly verified: static source inspection plus existing versioned result artifact,D=alpha_D+rho_D D_lag+u; Z=alpha_Z+f(D)+rho_Z Z_lag+nu; Y=alpha_Y+beta D+theta Z+rho_Y Y_lag+e.,D_t->Z_t->Y_t mediator; explicitly no Y_t->Z_t.,direct beta=1; linear total effect beta+theta delta_D.,"N=100,T=30,burn=100,reps default 500; theta=.5,delta_D=.4,rho_D=rho_Y=.5; nonlinear grid in source.",100,30,100,500 default (environment override),"iid Gaussian; pilot only calibrates scale, not a Monte Carlo result.",unit/time FE.,"TWFE, ADL with D/Y lags and contemporaneous or lagged Z.",bias relative to direct/linear total targets; FWL difference.,mediator_overcontrol;nonlinearity,verified_existing_artifacts,Static source declares an environment override; execution metadata should be consulted for actual reps.,simulations/nonlinearity/sim_overcontrol_contemporaneous.R + simulations/nonlinearity/results/sim_overcontrol_contemporaneous_results.csv;simulations/nonlinearity/results/sim_overcontrol_contemporaneous_raw.csv;simulations/nonlinearity/results/sim_overcontrol_contemporaneous_timing.csv
overcontrol_full,mediator over-control with nonlinear D-to-Z,simulations/overcontrol/sim_overcontrol.R,efdc7f7c3789ed1ffba51e60b547a225,simulations/overcontrol/results/sim_overcontrol_results.csv;simulations/overcontrol/results/sim_overcontrol_raw.csv;simulations/overcontrol/results/sim_overcontrol_grid.csv,69480d070563983c0a9766478bff6302;def0176159f884a8cdfaddc51c8f29ae;b460dee64b0f278739f21139f9944527,directly verified: static source inspection plus existing versioned result artifact,D=alpha_D+gamma_D Z_lag+rho_D D_lag+u; Z=alpha_Z+delta_D D+f_nl(D)+rho_Z Z_lag+nu; Y=alpha_Y+beta D+theta Z+gamma_Y Z_lag+rho_Y Y_lag+e.,D_t->Z_t->Y_t mediator; optional Z_lag confounding; no Y_t->Z_t.,linear total=beta+theta delta_D; direct=beta; nonlinear total is model-specific.,"N=100,T=30,burn=100,reps=500; 2 variants x 9 NL states x rho_Z {.5,.7}; grid CSV.",100,30,100,500,iid Gaussian; pilot scale calibration.,unit/time FE.,10 TWFE/ADL models with contemporaneous vs lagged Z.,"bias, RMSE, FWL shift, grid/console diagnostics.",mediator_overcontrol;nonlinearity,verified_existing_artifacts,Grid CSV is preserved as a first-class raw design artifact.,simulations/overcontrol/sim_overcontrol.R + simulations/overcontrol/results/sim_overcontrol_results.csv;simulations/overcontrol/results/sim_overcontrol_raw.csv;simulations/overcontrol/results/sim_overcontrol_grid.csv
persistent_unobserved,persistent contemporaneous unobserved confounding,simulations/dynamics/sim_persistent_confounder.R,b094ae4695a964b2e7fb8ff81e29a018,simulations/dynamics/results/sim_persistent_confounder_results.csv;simulations/dynamics/results/sim_persistent_confounder_raw.csv;simulations/dynamics/results/sim_persistent_confounder_timing.csv,92fe8a5c65711503d6241ccf54d7c1f6;4ea07050167bf643fbed660ade434c9f;184552a53a7424a7416d4d214a1ef5c4,directly verified: static source inspection plus existing versioned result artifact,U_t=phi_U U_lag+v; D_t=...+kappa U_t+u; Y_t=...+delta_U U_t+e; Z_t=...+delta_D D_t+delta_Y Y_t+...+nu.,"U_t->D_t and U_t->Y_t contemporaneous confounding, alongside dual-role Z.",beta=1; oracle models condition on U.,"N_REPS=500; 36 scenarios with kappa,phi_U,rho_Z,delta_U grids documented in source.",timing CSV,source,source,500,iid Gaussian AR(1) U and iid other innovations.,unit/time FE.,standard 9-model battery + oracle U models + lag-ID sensitivity models.,bias/MCSE; oracle contrast; discarded draws/timing.,contemporaneous_unobserved_confounding;firewall,verified_existing_artifacts,A known limitation: ADL cannot remove U_t confounding without observing U or a design.,simulations/dynamics/sim_persistent_confounder.R + simulations/dynamics/results/sim_persistent_confounder_results.csv;simulations/dynamics/results/sim_persistent_confounder_raw.csv;simulations/dynamics/results/sim_persistent_confounder_timing.csv
